#1
double	presence(35040, 2)
1526170500	0
1526171400	0
1526172300	0
1526173200	0
1526174100	0
1526175000	0
1526175900	0
1526176800	0
1526177700	0
1526178600	0
1526179500	0
1526180400	0
1526181300	0
1526182200	0
1526183100	0
1526184000	0
1526184900	0
1526185800	0
1526186700	0
1526187600	0
1526188500	0
1526189400	0
1526190300	0
1526191200	0
1526192100	0
1526193000	0
1526193900	0
1526194800	0
1526195700	0
1526196600	0
1526197500	0
1526198400	0
1526199300	0
1526200200	0
1526201100	0
1526202000	0
1526202900	0
1526203800	0
1526204700	0
1526205600	0
1526206500	0
1526207400	0
1526208300	0
1526209200	0
1526210100	0
1526211000	0
1526211900	0
1526212800	0
1526213700	0
1526214600	0
1526215500	0
1526216400	0
1526217300	0
1526218200	0
1526219100	0
1526220000	0
1526220900	0
1526221800	0
1526222700	0
1526223600	1
1526224500	1
1526225400	1
1526226300	1
1526227200	1
1526228100	1
1526229000	1
1526229900	1
1526230800	1
1526231700	1
1526232600	1
1526233500	1
1526234400	1
1526235300	1
1526236200	1
1526237100	1
1526238000	1
1526238900	1
1526239800	1
1526240700	1
1526241600	1
1526242500	1
1526243400	1
1526244300	1
1526245200	0
1526246100	0
1526247000	0
1526247900	0
1526248800	0
1526249700	0
1526250600	0
1526251500	0
1526252400	0
1526253300	0
1526254200	0
1526255100	0
1526256000	0
1526256900	0
1526257800	0
1526258700	0
1526259600	0
1526260500	0
1526261400	0
1526262300	0
1526263200	0
1526264100	0
1526265000	0
1526265900	0
1526266800	0
1526267700	0
1526268600	0
1526269500	0
1526270400	0
1526271300	0
1526272200	0
1526273100	0
1526274000	0
1526274900	0
1526275800	0
1526276700	0
1526277600	0
1526278500	0
1526279400	0
1526280300	0
1526281200	0
1526282100	0
1526283000	0
1526283900	0
1526284800	0
1526285700	0
1526286600	0
1526287500	0
1526288400	0
1526289300	0
1526290200	0
1526291100	0
1526292000	0
1526292900	0
1526293800	0
1526294700	0
1526295600	0
1526296500	0
1526297400	0
1526298300	0
1526299200	0
1526300100	0
1526301000	0
1526301900	0
1526302800	0
1526303700	0
1526304600	0
1526305500	0
1526306400	0
1526307300	0
1526308200	0
1526309100	0
1526310000	1
1526310900	1
1526311800	1
1526312700	1
1526313600	1
1526314500	1
1526315400	1
1526316300	1
1526317200	1
1526318100	1
1526319000	1
1526319900	1
1526320800	1
1526321700	1
1526322600	1
1526323500	1
1526324400	1
1526325300	1
1526326200	1
1526327100	1
1526328000	1
1526328900	1
1526329800	1
1526330700	1
1526331600	0
1526332500	0
1526333400	0
1526334300	0
1526335200	0
1526336100	0
1526337000	0
1526337900	0
1526338800	0
1526339700	0
1526340600	0
1526341500	0
1526342400	0
1526343300	0
1526344200	0
1526345100	0
1526346000	0
1526346900	0
1526347800	0
1526348700	0
1526349600	0
1526350500	0
1526351400	0
1526352300	0
1526353200	0
1526354100	0
1526355000	0
1526355900	0
1526356800	0
1526357700	0
1526358600	0
1526359500	0
1526360400	0
1526361300	0
1526362200	0
1526363100	0
1526364000	0
1526364900	0
1526365800	0
1526366700	0
1526367600	0
1526368500	0
1526369400	0
1526370300	0
1526371200	0
1526372100	0
1526373000	0
1526373900	0
1526374800	0
1526375700	0
1526376600	0
1526377500	0
1526378400	0
1526379300	0
1526380200	0
1526381100	0
1526382000	0
1526382900	0
1526383800	0
1526384700	0
1526385600	0
1526386500	0
1526387400	0
1526388300	0
1526389200	0
1526390100	0
1526391000	0
1526391900	0
1526392800	0
1526393700	0
1526394600	0
1526395500	0
1526396400	1
1526397300	1
1526398200	1
1526399100	1
1526400000	1
1526400900	1
1526401800	1
1526402700	1
1526403600	1
1526404500	1
1526405400	1
1526406300	1
1526407200	1
1526408100	1
1526409000	1
1526409900	1
1526410800	1
1526411700	1
1526412600	1
1526413500	1
1526414400	1
1526415300	1
1526416200	1
1526417100	1
1526418000	0
1526418900	0
1526419800	0
1526420700	0
1526421600	0
1526422500	0
1526423400	0
1526424300	0
1526425200	0
1526426100	0
1526427000	0
1526427900	0
1526428800	0
1526429700	0
1526430600	0
1526431500	0
1526432400	0
1526433300	0
1526434200	0
1526435100	0
1526436000	0
1526436900	0
1526437800	0
1526438700	0
1526439600	0
1526440500	0
1526441400	0
1526442300	0
1526443200	0
1526444100	0
1526445000	0
1526445900	0
